# 造序注音 builtin lexicon
# 由本專案人工建立與維護；等級為人工判斷的常用程度（5 最常用），不是語料統計。
# 欄位：詞<TAB>等級<TAB>讀音（選填，音節以空白分隔；多音字必填）
在	5	ㄗㄞˋ
再	4	ㄗㄞˋ
載	3	ㄗㄞˋ
載	2	ㄗㄞˇ
是	5	ㄕˋ
事	4	ㄕˋ
市	4	ㄕˋ
試	3	ㄕˋ
式	3	ㄕˋ
世	3	ㄕˋ
視	3	ㄕˋ
室	3	ㄕˋ
示	3	ㄕˋ
勢	3	ㄕˋ
士	3	ㄕˋ
適	3	ㄕˋ
釋	2	ㄕˋ
誓	2	ㄕˋ
逝	2	ㄕˋ
飾	2	ㄕˋ
侍	2	ㄕˋ
氏	2	ㄕˋ
的	5	ㄉㄜ˙
得	4	ㄉㄜˊ
德	3	ㄉㄜˊ
了	5	ㄌㄜ˙
我	5	ㄨㄛˇ
你	5	ㄋㄧˇ
妳	3	ㄋㄧˇ
他	5	ㄊㄚ
她	4	ㄊㄚ
它	3	ㄊㄚ
塔	2	ㄊㄚˇ
們	5	ㄇㄣ˙
會	5	ㄏㄨㄟˋ
惠	2	ㄏㄨㄟˋ
繪	2	ㄏㄨㄟˋ
匯	2	ㄏㄨㄟˋ
慧	2	ㄏㄨㄟˋ
彙	1	ㄏㄨㄟˋ
賄	1	ㄏㄨㄟˋ
悔	2	ㄏㄨㄟˇ
回	4	ㄏㄨㄟˊ
灰	2	ㄏㄨㄟ
揮	2	ㄏㄨㄟ
累	4	ㄌㄟˋ
類	4	ㄌㄟˋ
淚	3	ㄌㄟˋ
肋	1	ㄌㄟˋ
擂	1	ㄌㄟˋ
雷	3	ㄌㄟˊ
和	5	ㄏㄜˊ
河	4	ㄏㄜˊ
合	4	ㄏㄜˊ
何	4	ㄏㄜˊ
核	3	ㄏㄜˊ
荷	2	ㄏㄜˊ
盒	2	ㄏㄜˊ
禾	1	ㄏㄜˊ
賀	2	ㄏㄜˋ
喝	4	ㄏㄜ
首	4	ㄕㄡˇ
手	5	ㄕㄡˇ
守	3	ㄕㄡˇ
受	4	ㄕㄡˋ
收	4	ㄕㄡ
坐	4	ㄗㄨㄛˋ
做	4	ㄗㄨㄛˋ
作	4	ㄗㄨㄛˋ
座	3	ㄗㄨㄛˋ
昨	3	ㄗㄨㄛˊ
左	3	ㄗㄨㄛˇ
畫	4	ㄏㄨㄚˋ
話	4	ㄏㄨㄚˋ
化	4	ㄏㄨㄚˋ
劃	3	ㄏㄨㄚˋ
樺	1	ㄏㄨㄚˋ
花	4	ㄏㄨㄚ
華	3	ㄏㄨㄚˊ
冷	4	ㄌㄥˇ
本	4	ㄅㄣˇ
笨	2	ㄅㄣˋ
貴	4	ㄍㄨㄟˋ
櫃	2	ㄍㄨㄟˋ
跪	2	ㄍㄨㄟˋ
桂	2	ㄍㄨㄟˋ
鬼	3	ㄍㄨㄟˇ
水	5	ㄕㄨㄟˇ
睡	4	ㄕㄨㄟˋ
誰	4	ㄕㄟˊ
快	4	ㄎㄨㄞˋ
塊	3	ㄎㄨㄞˋ
筷	2	ㄎㄨㄞˋ
運	4	ㄩㄣˋ
韻	2	ㄩㄣˋ
孕	2	ㄩㄣˋ
暈	2	ㄩㄣˋ
雲	3	ㄩㄣˊ
等	4	ㄉㄥˇ
燈	3	ㄉㄥ
登	3	ㄉㄥ
好	5	ㄏㄠˇ
號	3	ㄏㄠˋ
很	5	ㄏㄣˇ
恨	2	ㄏㄣˋ
去	5	ㄑㄩˋ
趣	3	ㄑㄩˋ
來	5	ㄌㄞˊ
說	5	ㄕㄨㄛ
看	5	ㄎㄢˋ
想	5	ㄒㄧㄤˇ
向	4	ㄒㄧㄤˋ
像	4	ㄒㄧㄤˋ
象	3	ㄒㄧㄤˋ
要	5	ㄧㄠˋ
藥	3	ㄧㄠˋ
有	5	ㄧㄡˇ
友	3	ㄧㄡˇ
又	4	ㄧㄡˋ
右	3	ㄧㄡˋ
沒	5	ㄇㄟˊ
不	5	ㄅㄨˋ
步	3	ㄅㄨˋ
部	4	ㄅㄨˋ
也	5	ㄧㄝˇ
就	5	ㄐㄧㄡˋ
舊	3	ㄐㄧㄡˋ
都	5	ㄉㄡ
還	5	ㄏㄞˊ
這	5	ㄓㄜˋ
那	5	ㄋㄚˋ
哪	4	ㄋㄚˇ
拿	4	ㄋㄚˊ
個	5	ㄍㄜˋ
各	3	ㄍㄜˋ
人	5	ㄖㄣˊ
大	5	ㄉㄚˋ
小	5	ㄒㄧㄠˇ
天	5	ㄊㄧㄢ
年	5	ㄋㄧㄢˊ
月	4	ㄩㄝˋ
日	4	ㄖˋ
時	5	ㄕˊ
十	4	ㄕˊ
實	4	ㄕˊ
石	3	ㄕˊ
食	3	ㄕˊ
識	3	ㄕˋ
上	5	ㄕㄤˋ
下	5	ㄒㄧㄚˋ
中	5	ㄓㄨㄥ
國	4	ㄍㄨㄛˊ
家	5	ㄐㄧㄚ
加	4	ㄐㄧㄚ
學	4	ㄒㄩㄝˊ
生	5	ㄕㄥ
聲	4	ㄕㄥ
出	4	ㄔㄨ
到	5	ㄉㄠˋ
道	4	ㄉㄠˋ
對	5	ㄉㄨㄟˋ
能	4	ㄋㄥˊ
用	4	ㄩㄥˋ
可	4	ㄎㄜˇ
以	4	ㄧˇ
已	4	ㄧˇ
後	4	ㄏㄡˋ
前	4	ㄑㄧㄢˊ
錢	4	ㄑㄧㄢˊ
多	4	ㄉㄨㄛ
少	3	ㄕㄠˇ
愛	4	ㄞˋ
吃	4	ㄔ
買	4	ㄇㄞˇ
賣	3	ㄇㄞˋ
走	4	ㄗㄡˇ
跑	3	ㄆㄠˇ
車	4	ㄔㄜ
書	4	ㄕㄨ
輸	3	ㄕㄨ
字	4	ㄗˋ
自	4	ㄗˋ
子	4	ㄗˇ
子	3	ㄗ˙
一	5	ㄧ
衣	3	ㄧ
醫	3	ㄧ
二	4	ㄦˋ
三	4	ㄙㄢ
四	4	ㄙˋ
五	4	ㄨˇ
六	4	ㄌㄧㄡˋ
七	4	ㄑㄧ
八	4	ㄅㄚ
九	4	ㄐㄧㄡˇ
酒	3	ㄐㄧㄡˇ
百	3	ㄅㄞˇ
千	3	ㄑㄧㄢ
萬	3	ㄨㄢˋ
嗎	5	ㄇㄚ˙
呢	4	ㄋㄜ˙
吧	4	ㄅㄚ˙
啊	4	ㄚ˙
媽	4	ㄇㄚ
馬	4	ㄇㄚˇ
罵	2	ㄇㄚˋ
麻	3	ㄇㄚˊ
爸	4	ㄅㄚˋ
把	4	ㄅㄚˇ
吧	2	ㄅㄚ
給	4	ㄍㄟˇ
跟	4	ㄍㄣ
從	4	ㄘㄨㄥˊ
比	4	ㄅㄧˇ
筆	3	ㄅㄧˇ
被	4	ㄅㄟˋ
背	3	ㄅㄟˋ
讓	4	ㄖㄤˋ
叫	4	ㄐㄧㄠˋ
較	3	ㄐㄧㄠˋ
教	3	ㄐㄧㄠˋ
最	4	ㄗㄨㄟˋ
罪	2	ㄗㄨㄟˋ
醉	2	ㄗㄨㄟˋ
太	4	ㄊㄞˋ
態	3	ㄊㄞˋ
真	4	ㄓㄣ
針	2	ㄓㄣ
新	4	ㄒㄧㄣ
心	4	ㄒㄧㄣ
信	4	ㄒㄧㄣˋ
高	4	ㄍㄠ
長	4	ㄔㄤˊ
長	3	ㄓㄤˇ
常	4	ㄔㄤˊ
場	4	ㄔㄤˇ
廠	2	ㄔㄤˇ
唱	3	ㄔㄤˋ
門	4	ㄇㄣˊ
問	4	ㄨㄣˋ
文	4	ㄨㄣˊ
聞	3	ㄨㄣˊ
題	3	ㄊㄧˊ
提	3	ㄊㄧˊ
體	3	ㄊㄧˇ
替	3	ㄊㄧˋ
工	4	ㄍㄨㄥ
公	4	ㄍㄨㄥ
功	3	ㄍㄨㄥ
攻	2	ㄍㄨㄥ
宮	2	ㄍㄨㄥ
供	2	ㄍㄨㄥ
共	3	ㄍㄨㄥˋ
期	4	ㄑㄧˊ
其	4	ㄑㄧˊ
奇	3	ㄑㄧˊ
騎	3	ㄑㄧˊ
旗	2	ㄑㄧˊ
氣	4	ㄑㄧˋ
器	3	ㄑㄧˋ
汽	3	ㄑㄧˋ
起	4	ㄑㄧˇ
企	2	ㄑㄧˋ
路	4	ㄌㄨˋ
錄	3	ㄌㄨˋ
陸	3	ㄌㄨˋ
鹿	2	ㄌㄨˋ
露	2	ㄌㄨˋ
記	4	ㄐㄧˋ
紀	3	ㄐㄧˋ
計	3	ㄐㄧˋ
技	3	ㄐㄧˋ
季	3	ㄐㄧˋ
寄	3	ㄐㄧˋ
際	3	ㄐㄧˋ
繼	2	ㄐㄧˋ
既	2	ㄐㄧˋ
機	4	ㄐㄧ
雞	3	ㄐㄧ
基	3	ㄐㄧ
積	3	ㄐㄧ
績	3	ㄐㄧ
擊	2	ㄐㄧˊ
幾	4	ㄐㄧˇ
己	3	ㄐㄧˇ
擠	2	ㄐㄧˇ
為	5	ㄨㄟˋ
位	4	ㄨㄟˋ
未	3	ㄨㄟˋ
味	3	ㄨㄟˋ
衛	2	ㄨㄟˋ
喂	2	ㄨㄟˋ
胃	2	ㄨㄟˋ
謂	2	ㄨㄟˋ
為	4	ㄨㄟˊ
圍	3	ㄨㄟˊ
微	3	ㄨㄟˊ
危	3	ㄨㄟˊ
其	2	ㄐㄧ
行	4	ㄒㄧㄥˊ
行	3	ㄏㄤˊ
形	3	ㄒㄧㄥˊ
型	3	ㄒㄧㄥˊ
星	3	ㄒㄧㄥ
興	3	ㄒㄧㄥˋ
性	4	ㄒㄧㄥˋ
姓	3	ㄒㄧㄥˋ
幸	3	ㄒㄧㄥˋ
檢查	4	ㄐㄧㄢˇ ㄔㄚˊ
檢察	3	ㄐㄧㄢˇ ㄔㄚˊ
檢察官	3	ㄐㄧㄢˇ ㄔㄚˊ ㄍㄨㄢ
健康	4	ㄐㄧㄢˋ ㄎㄤ
醫院	4	ㄧ ㄩㄢˋ
醫生	4	ㄧ ㄕㄥ
事件	4	ㄕˋ ㄐㄧㄢˋ
識見	1	ㄕˋ ㄐㄧㄢˋ
研發	3	ㄧㄢˊ ㄈㄚ
產品	4	ㄔㄢˇ ㄆㄧㄣˇ
列印	3	ㄌㄧㄝˋ ㄧㄣˋ
文件	4	ㄨㄣˊ ㄐㄧㄢˋ
旅行	4	ㄌㄩˇ ㄒㄧㄥˊ
履行	3	ㄌㄩˇ ㄒㄧㄥˊ
日本	4	ㄖˋ ㄅㄣˇ
安全	4	ㄢ ㄑㄩㄢˊ
颱風	3	ㄊㄞˊ ㄈㄥ
注意	4	ㄓㄨˋ ㄧˋ
民眾	3	ㄇㄧㄣˊ ㄓㄨㄥˋ
心得	3	ㄒㄧㄣ ㄉㄜˊ
讀書	4	ㄉㄨˊ ㄕㄨ
公式	3	ㄍㄨㄥ ㄕˋ
公事	3	ㄍㄨㄥ ㄕˋ
攻勢	2	ㄍㄨㄥ ㄕˋ
工事	2	ㄍㄨㄥ ㄕˋ
公視	2	ㄍㄨㄥ ㄕˋ
宮室	1	ㄍㄨㄥ ㄕˋ
公示	2	ㄍㄨㄥ ㄕˋ
價格	4	ㄐㄧㄚˋ ㄍㄜˊ
餐廳	4	ㄘㄢ ㄊㄧㄥ
報名	3	ㄅㄠˋ ㄇㄧㄥˊ
實驗	3	ㄕˊ ㄧㄢˋ
實驗室	3	ㄕˊ ㄧㄢˋ ㄕˋ
政策	4	ㄓㄥˋ ㄘㄜˋ
經濟	4	ㄐㄧㄥ ㄐㄧˋ
劇情	3	ㄐㄩˋ ㄑㄧㄥˊ
電影	4	ㄉㄧㄢˋ ㄧㄥˇ
密碼	3	ㄇㄧˋ ㄇㄚˇ
意見	4	ㄧˋ ㄐㄧㄢˋ
異見	1	ㄧˋ ㄐㄧㄢˋ
請假	3	ㄑㄧㄥˇ ㄐㄧㄚˋ
生病	3	ㄕㄥ ㄅㄧㄥˋ
駕駛	3	ㄐㄧㄚˋ ㄕˇ
成績	4	ㄔㄥˊ ㄐㄧ
乘積	2	ㄔㄥˊ ㄐㄧ
考試	4	ㄎㄠˇ ㄕˋ
交通	4	ㄐㄧㄠ ㄊㄨㄥ
城市	4	ㄔㄥˊ ㄕˋ
程式	3	ㄔㄥˊ ㄕˋ
成事	1	ㄔㄥˊ ㄕˋ
誠實	3	ㄔㄥˊ ㄕˊ
興趣	4	ㄒㄧㄥˋ ㄑㄩˋ
歷史	4	ㄌㄧˋ ㄕˇ
資源	4	ㄗ ㄩㄢˊ
休息	4	ㄒㄧㄡ ㄒㄧˊ
修習	1	ㄒㄧㄡ ㄒㄧˊ
