# Derived from CNS11643 全字庫 (Ministry of Digital Affairs, Taiwan),
# licensed under the Open Government Data License, version 1.0.
# https://data.gov.tw/dataset/5961
# columns: char	reading	cns_code
⾡	ㄔㄨㄛˋ	1-2863
〇	ㄌㄧㄥˊ	1-4243
一	ㄧ	1-4421
一	ㄧˊ	1-4421
一	ㄧˋ	1-4421
乙	ㄧˇ	1-4422
丁	ㄉㄧㄥ	1-4423
丁	ㄓㄥ	1-4423
七	ㄑㄧ	1-4424
乃	ㄋㄞˇ	1-4425
九	ㄐㄧㄡˇ	1-4426
了	ㄌㄜ˙	1-4427
了	ㄌㄧㄠˇ	1-4427
二	ㄦˋ	1-4428
人	ㄖㄣˊ	1-4429
儿	ㄖㄣˊ	1-442A
入	ㄖˋ	1-442B
入	ㄖㄨˇ	1-442B
入	ㄖㄨˋ	1-442B
八	ㄅㄚ	1-442C
几	ㄐㄧ	1-442D
几	ㄐㄧˇ	1-442D
刀	ㄉㄠ	1-442E
刁	ㄉㄧㄠ	1-442F
力	ㄌㄧˋ	1-4430
匕	ㄅㄧˇ	1-4431
十	ㄕˊ	1-4432
卜	ㄅㄨˇ	1-4433
又	ㄧㄡˋ	1-4434
三	ㄙㄚ	1-4435
三	ㄙㄢ	1-4435
三	ㄙㄢˋ	1-4435
下	ㄒㄧㄚˋ	1-4436
丈	ㄓㄤˋ	1-4437
上	ㄕㄤˇ	1-4438
上	ㄕㄤˋ	1-4438
丫	ㄧㄚ	1-4439
丸	ㄨㄢˊ	1-443A
凡	ㄈㄢˊ	1-443B
久	ㄐㄧㄡˇ	1-443C
么	ㄧㄠ	1-443D
也	ㄧㄝˇ	1-443E
乞	ㄑㄧˇ	1-443F
乞	ㄑㄧˋ	1-443F
于	ㄒㄩ	1-4440
于	ㄩˊ	1-4440
亡	ㄨˊ	1-4441
亡	ㄨㄤˊ	1-4441
兀	ㄨˋ	1-4442
刃	ㄖㄣˋ	1-4443
勺	ㄕㄠˊ	1-4444
勺	ㄕㄨㄛˋ	1-4444
千	ㄑㄧㄢ	1-4445
叉	ㄔㄚ	1-4446
叉	ㄔㄚˇ	1-4446
叉	ㄔㄚˊ	1-4446
口	ㄎㄡˇ	1-4447
土	ㄊㄨˇ	1-4448
士	ㄕˋ	1-4449
夕	ㄒㄧˋ	1-444A
大	ㄉㄚˋ	1-444B
大	ㄉㄞˋ	1-444B
大	ㄊㄞˋ	1-444B
女	ㄋㄩˇ	1-444C
女	ㄋㄩˋ	1-444C
女	ㄖㄨˇ	1-444C
子	ㄗˇ	1-444D
子	ㄗ˙	1-444D
孑	ㄐㄧㄝˊ	1-444E
孓	ㄐㄩㄝˊ	1-444F
寸	ㄘㄨㄣˋ	1-4450
小	ㄒㄧㄠˇ	1-4451
尢	ㄨㄤ	1-4452
尸	ㄕ	1-4453
山	ㄕㄢ	1-4454
川	ㄔㄨㄢ	1-4455
工	ㄍㄨㄥ	1-4456
己	ㄐㄧˇ	1-4457
已	ㄧˇ	1-4458
巳	ㄙˋ	1-4459
巾	ㄐㄧㄣ	1-445A
干	ㄍㄢ	1-445B
廾	ㄍㄨㄥˇ	1-445C
弋	ㄧˋ	1-445D
弓	ㄍㄨㄥ	1-445E
才	ㄘㄞˊ	1-445F
丑	ㄔㄡˇ	1-4460
丐	ㄍㄞˋ	1-4461
不	ㄅㄨˊ	1-4462
不	ㄅㄨˋ	1-4462
不	ㄈㄡ	1-4462
不	ㄈㄡˇ	1-4462
不	ㄈㄨ	1-4462
中	ㄓㄨㄥ	1-4463
中	ㄓㄨㄥˋ	1-4463
丰	ㄈㄥ	1-4464
丹	ㄉㄢ	1-4465
之	ㄓ	1-4466
尹	ㄧㄣˇ	1-4467
予	ㄩˇ	1-4468
予	ㄩˊ	1-4468
云	ㄩㄣˊ	1-4469
井	ㄐㄧㄥˇ	1-446A
互	ㄏㄨˋ	1-446B
五	ㄨˇ	1-446C
亢	ㄍㄤ	1-446D
亢	ㄎㄤˋ	1-446D
仁	ㄖㄣˊ	1-446E
什	ㄕˊ	1-446F
什	ㄕㄜˊ	1-446F
什	ㄕㄣˊ	1-446F
仃	ㄉㄧㄥ	1-4470
仆	ㄆㄨ	1-4471
仆	ㄈㄨˋ	1-4471
仇	ㄑㄧㄡˊ	1-4472
仇	ㄔㄡˊ	1-4472
仍	ㄖㄥˊ	1-4473
今	ㄐㄧㄣ	1-4474
介	ㄐㄧㄝˋ	1-4475
仄	ㄗㄜˋ	1-4476
元	ㄩㄢˊ	1-4477
允	ㄩㄣˇ	1-4478
內	ㄋㄚˋ	1-4479
內	ㄋㄟˋ	1-4479
六	ㄌㄧㄡˋ	1-447A
六	ㄌㄨˋ	1-447A
兮	ㄒㄧ	1-447B
公	ㄍㄨㄥ	1-447C
冗	ㄖㄨㄥˇ	1-447D
凶	ㄒㄩㄥ	1-447E
分	ㄈㄣ	1-4521
分	ㄈㄣˋ	1-4521
切	ㄑㄧㄝ	1-4522
切	ㄑㄧㄝˋ	1-4522
刈	ㄧˋ	1-4523
勻	ㄩㄣˊ	1-4524
勾	ㄍㄡ	1-4525
勾	ㄍㄡˋ	1-4525
勿	ㄨˋ	1-4526
化	ㄏㄨㄚ	1-4527
化	ㄏㄨㄚˋ	1-4527
匹	ㄆㄧ	1-4528
匹	ㄆㄧˇ	1-4528
午	ㄏㄨㄛ˙	1-4529
午	ㄨˇ	1-4529
升	ㄕㄥ	1-452A
卅	ㄙㄚˋ	1-452B
卞	ㄅㄧㄢˋ	1-452C
厄	ㄜˋ	1-452D
友	ㄧㄡˇ	1-452E
及	ㄐㄧˊ	1-452F
反	ㄈㄢ	1-4530
反	ㄈㄢˇ	1-4530
反	ㄈㄢˋ	1-4530
壬	ㄖㄣˊ	1-4531
天	ㄊㄧㄢ	1-4532
夫	ㄈㄨ	1-4533
夫	ㄈㄨˊ	1-4533
太	ㄊㄞˋ	1-4534
夭	ㄠˇ	1-4535
夭	ㄧㄠ	1-4535
夭	ㄧㄠˇ	1-4535
孔	ㄎㄨㄥˇ	1-4536
少	ㄕㄠˇ	1-4537
少	ㄕㄠˋ	1-4537
尤	ㄧㄡˊ	1-4538
尺	ㄔˇ	1-4539
尺	ㄔˊ	1-4539
尺	ㄔㄜˇ	1-4539
屯	ㄊㄨㄣˊ	1-453A
屯	ㄓㄨㄣ	1-453A
巴	ㄅㄚ	1-453B
幻	ㄏㄨㄢˋ	1-453C
廿	ㄋㄧㄢˋ	1-453D
弔	ㄉㄧㄠˋ	1-453E
引	ㄧㄣˇ	1-453F
心	ㄒㄧㄣ	1-4540
戈	ㄍㄜ	1-4541
戶	ㄏㄨˋ	1-4542
手	ㄕㄡˇ	1-4543
扎	ㄓㄚ	1-4544
扎	ㄓㄚˇ	1-4544
扎	ㄓㄚˊ	1-4544
支	ㄓ	1-4545
文	ㄨㄣˊ	1-4546
文	ㄨㄣˋ	1-4546
斗	ㄉㄡˇ	1-4547
斤	ㄐㄧㄣ	1-4548
方	ㄈㄤ	1-4549
日	ㄇㄧˋ	1-454A
日	ㄖˋ	1-454A
曰	ㄩㄝ	1-454B
月	ㄩㄝˋ	1-454C
木	ㄇㄨˋ	1-454D
欠	ㄑㄧㄢˋ	1-454E
止	ㄓˇ	1-454F
歹	ㄉㄞˇ	1-4550
歹	ㄐㄧㄥ	1-4550
歹	ㄓㄣ	1-4550
歹	ㄜˋ	1-4550
毋	ㄨˊ	1-4551
比	ㄅㄧˇ	1-4552
比	ㄅㄧˋ	1-4552
比	ㄆㄧˊ	1-4552
毛	ㄇㄠˊ	1-4553
氏	ㄓ	1-4554
氏	ㄕˋ	1-4554
水	ㄕㄨㄟˇ	1-4555
火	ㄏㄨㄛˇ	1-4556
爪	ㄓㄠˇ	1-4557
爪	ㄓㄨㄚˇ	1-4557
父	ㄈㄨˇ	1-4558
父	ㄈㄨˋ	1-4558
爻	ㄒㄧㄠˊ	1-4559
爻	ㄧㄠˊ	1-4559
片	ㄆㄧㄢ	1-455A
片	ㄆㄧㄢˋ	1-455A
牙	ㄧㄚˊ	1-455B
牛	ㄋㄧㄡˊ	1-455C
犬	ㄑㄩㄢˇ	1-455D
王	ㄨㄤˊ	1-455E
王	ㄨㄤˋ	1-455E
王	ㄩˋ	1-455E
丙	ㄅㄧㄥˇ	1-455F
世	ㄕˋ	1-4560
丕	ㄆㄧ	1-4561
且	ㄐㄩ	1-4562
且	ㄑㄧㄝˇ	1-4562
丘	ㄑㄧㄡ	1-4563
主	ㄓㄨˇ	1-4564
乍	ㄓㄚˋ	1-4565
乏	ㄈㄚˊ	1-4566
乎	ㄏㄨ	1-4567
乎	ㄏㄨˊ	1-4567
以	ㄧˇ	1-4568
付	ㄈㄨˋ	1-4569
仔	ㄗ	1-456A
仔	ㄗˇ	1-456A
仔	ㄗㄞˇ	1-456A
仕	ㄕˋ	1-456B
他	ㄊㄚ	1-456C
他	ㄊㄨㄛ	1-456C
仗	ㄓㄤˋ	1-456D
代	ㄉㄞˋ	1-456E
令	ㄌㄧㄥˋ	1-456F
仙	ㄒㄧㄢ	1-4570
仞	ㄖㄣˋ	1-4571
充	ㄔㄨㄥ	1-4572
兄	ㄒㄩㄥ	1-4573
冉	ㄖㄢˇ	1-4574
冊	ㄔㄞˇ	1-4575
冊	ㄘㄜˋ	1-4575
冬	ㄉㄨㄥ	1-4576
凹	ㄠ	1-4577
凹	ㄧㄠ	1-4577
凹	ㄨㄚ	1-4577
凹	ㄨㄚˋ	1-4577
出	ㄔㄨ	1-4578
凸	ㄉㄧㄝˊ	1-4579
凸	ㄊㄨ	1-4579
凸	ㄊㄨˊ	1-4579
凸	ㄍㄨˇ	1-4579
刊	ㄎㄢ	1-457A
加	ㄐㄧㄚ	1-457B
功	ㄍㄨㄥ	1-457C
包	ㄅㄠ	1-457D
匆	ㄘㄨㄥ	1-457E
北	ㄅㄛˋ	1-4621
北	ㄅㄟˇ	1-4621
北	ㄅㄟˋ	1-4621
匝	ㄗㄚ	1-4622
仟	ㄑㄧㄢ	1-4623
半	ㄅㄢˋ	1-4624
卉	ㄏㄨㄟˋ	1-4625
卡	ㄎㄚˇ	1-4626
卡	ㄑㄧㄚˇ	1-4626
占	ㄓㄢ	1-4627
占	ㄓㄢˋ	1-4627
卯	ㄇㄠˇ	1-4628
卮	ㄓ	1-4629
去	ㄑㄩˋ	1-462A
可	ㄎㄜˇ	1-462B
可	ㄎㄜˋ	1-462B
古	ㄍㄨˇ	1-462C
右	ㄧㄡˋ	1-462D
召	ㄓㄠˋ	1-462E
召	ㄕㄠˋ	1-462E
叮	ㄉㄧㄥ	1-462F
叩	ㄎㄡˋ	1-4630
叨	ㄉㄠ	1-4631
叨	ㄊㄠ	1-4631
叼	ㄉㄧㄠ	1-4632
司	ㄙ	1-4633
叵	ㄆㄛˇ	1-4634
叫	ㄐㄧㄠˋ	1-4635
另	ㄌㄧㄥˋ	1-4636
只	ㄓ	1-4637
只	ㄓˇ	1-4637
史	ㄕˇ	1-4638
叱	ㄔˋ	1-4639
台	ㄊㄞ	1-463A
台	ㄊㄞˊ	1-463A
台	ㄧˊ	1-463A
句	ㄍㄡ	1-463B
句	ㄍㄡˋ	1-463B
句	ㄐㄩˋ	1-463B
叭	ㄅㄚ	1-463C
叻	ㄌㄜˋ	1-463D
叻	ㄌㄧˋ	1-463D
四	ㄙˋ	1-463E
囚	ㄑㄧㄡˊ	1-463F
外	ㄨㄞˋ	1-4640
央	ㄧㄤ	1-4641
失	ㄕ	1-4642
奴	ㄋㄨˊ	1-4643
奶	ㄋㄞˇ	1-4644
孕	ㄩㄣˋ	1-4645
它	ㄊㄚ	1-4646
它	ㄊㄨㄛ	1-4646
它	ㄊㄨㄛˊ	1-4646
尼	ㄋㄧˊ	1-4647
巨	ㄐㄩˋ	1-4648
巧	ㄑㄧㄠˇ	1-4649
左	ㄗㄨㄛˇ	1-464A
市	ㄕˋ	1-464B
布	ㄅㄨˋ	1-464C
平	ㄆㄧㄢˊ	1-464D
平	ㄆㄧㄥˊ	1-464D
幼	ㄧㄡˋ	1-464E
弁	ㄅㄧㄢˋ	1-464F
弁	ㄆㄢˊ	1-464F
弘	ㄏㄨㄥˊ	1-4650
弗	ㄈㄨˊ	1-4651
必	ㄅㄧˋ	1-4652
戊	ㄨˋ	1-4653
打	ㄉㄚˇ	1-4654
打	ㄉㄚˊ	1-4654
扔	ㄖㄥ	1-4655
扔	ㄖㄥˇ	1-4655
扔	ㄖㄥˊ	1-4655
扔	ㄖㄥˋ	1-4655
扒	ㄅㄚ	1-4656
扒	ㄅㄧㄝˊ	1-4656
扒	ㄆㄚˊ	1-4656
扑	ㄆㄨ	1-4657
斥	ㄔˋ	1-4658
旦	ㄉㄢˋ	1-4659
朮	ㄓㄨˊ	1-465A
本	ㄅㄣˇ	1-465B
未	ㄨㄟˋ	1-465C
末	ㄇㄛˋ	1-465D
札	ㄓㄚˊ	1-465E
正	ㄓㄥ	1-465F
正	ㄓㄥˋ	1-465F
母	ㄇㄨˇ	1-4660
民	ㄇㄧㄣˊ	1-4661
氐	ㄉㄧ	1-4662
氐	ㄉㄧˇ	1-4662
永	ㄩㄥˇ	1-4663
汁	ㄓ	1-4664
汀	ㄊㄧㄥ	1-4665
氾	ㄈㄢˊ	1-4666
氾	ㄈㄢˋ	1-4666
犯	ㄈㄢˋ	1-4667
玄	ㄒㄩㄢˊ	1-4668
玉	ㄩˋ	1-4669
瓜	ㄍㄨㄚ	1-466A
瓦	ㄨㄚˇ	1-466B
瓦	ㄨㄚˋ	1-466B
甘	ㄍㄢ	1-466C
生	ㄕㄥ	1-466D
用	ㄩㄥˋ	1-466E
甩	ㄕㄨㄞˇ	1-466F
田	ㄊㄧㄢˊ	1-4670
由	ㄧㄡˊ	1-4671
甲	ㄐㄧㄚˇ	1-4672
甲	ㄐㄧㄚˋ	1-4672
申	ㄕㄣ	1-4673
疋	ㄆㄧ	1-4674
疋	ㄆㄧˇ	1-4674
疋	ㄓㄥ	1-4674
疋	ㄓㄥˋ	1-4674
疋	ㄕㄨ	1-4674
疋	ㄧㄚ	1-4674
疋	ㄧㄚˇ	1-4674
白	ㄅㄛˊ	1-4675
白	ㄅㄞˊ	1-4675
皮	ㄆㄧˊ	1-4676
皿	ㄇㄧㄣˇ	1-4677
皿	ㄇㄧㄥˇ	1-4677
目	ㄇㄨˋ	1-4678
矛	ㄇㄠˊ	1-4679
矢	ㄕˇ	1-467A
石	ㄉㄢˋ	1-467B
石	ㄕˊ	1-467B
示	ㄑㄧˊ	1-467C
示	ㄕˋ	1-467C
禾	ㄏㄜˊ	1-467D
穴	ㄒㄩㄝˊ	1-467E
穴	ㄒㄩㄝˋ	1-467E
立	ㄌㄧˋ	1-4721
丞	ㄔㄥˊ	1-4722
丟	ㄉㄧㄡ	1-4723
乒	ㄆㄧㄥ	1-4724
乓	ㄆㄤ	1-4725
乩	ㄐㄧ	1-4726
亙	ㄍㄣˋ	1-4727
亙	ㄍㄥˋ	1-4727
交	ㄐㄧㄠ	1-4728
亦	ㄧˋ	1-4729
亥	ㄏㄞˋ	1-472A
仿	ㄈㄤˇ	1-472B
伉	ㄎㄤˋ	1-472C
伙	ㄏㄨㄛˇ	1-472D
伊	ㄧ	1-472E
伕	ㄈㄨ	1-472F
伍	ㄨˇ	1-4730
伐	ㄈㄚ	1-4731
伐	ㄈㄚˊ	1-4731
休	ㄒㄧㄡ	1-4732
休	ㄒㄧㄡˇ	1-4732
休	ㄒㄩˇ	1-4732
伏	ㄈㄨˊ	1-4733
仲	ㄓㄨㄥˋ	1-4734
件	ㄐㄧㄢˋ	1-4735
任	ㄖㄣˊ	1-4736
任	ㄖㄣˋ	1-4736
仰	ㄧㄤˇ	1-4737
仳	ㄆㄧˇ	1-4738
份	ㄅㄧㄣ	1-4739
份	ㄈㄣˋ	1-4739
企	ㄑㄧˋ	1-473A
伋	ㄐㄧˊ	1-473B
光	ㄍㄨㄤ	1-473C
兇	ㄒㄩㄥ	1-473D
兆	ㄓㄠˋ	1-473E
先	ㄒㄧㄢ	1-473F
先	ㄒㄧㄢˋ	1-473F
全	ㄑㄩㄢˊ	1-4740
共	ㄍㄨㄥ	1-4741
共	ㄍㄨㄥˇ	1-4741
共	ㄍㄨㄥˋ	1-4741
再	ㄗㄞˋ	1-4742
冰	ㄅㄧㄥ	1-4743
列	ㄌㄧㄝˋ	1-4744
列	ㄓㄨ	1-4744
列	ㄗㄚˊ	1-4744
刑	ㄒㄧㄥˊ	1-4745
划	ㄏㄨㄚˊ	1-4746
刎	ㄨㄣˇ	1-4747
刖	ㄩㄝˋ	1-4748
劣	ㄌㄧㄝˋ	1-4749
匈	ㄒㄩㄥ	1-474A
匡	ㄎㄨㄤ	1-474B
匠	ㄐㄧㄤˋ	1-474C
印	ㄧㄣˋ	1-474D
危	ㄨㄟˊ	1-474E
吉	ㄐㄧˊ	1-474F
吏	ㄌㄧˋ	1-4750
同	ㄊㄨㄥˊ	1-4751
同	ㄊㄨㄥˋ	1-4751
吊	ㄉㄧㄠˋ	1-4752
吐	ㄊㄨˇ	1-4753
吐	ㄊㄨˋ	1-4753
吁	ㄒㄩ	1-4754
吋	ㄘㄨㄣˋ	1-4755
各	ㄍㄜˋ	1-4756
向	ㄒㄧㄤˋ	1-4757
名	ㄇㄧㄥˊ	1-4758
合	ㄍㄜˇ	1-4759
合	ㄏㄜˊ	1-4759
吃	ㄐㄧˊ	1-475A
吃	ㄔ	1-475A
后	ㄏㄡˋ	1-475B
吆	ㄧㄠ	1-475C
吒	ㄓㄚˋ	1-475D
因	ㄧㄣ	1-475E
回	ㄏㄨㄟˊ	1-475F
囝	ㄋㄢ	1-4760
囝	ㄐㄧㄢˇ	1-4760
囝	ㄩㄝˋ	1-4760
圳	ㄓㄣˋ	1-4761
圳	ㄔㄡˊ	1-4761
圳	ㄗㄨㄣˋ	1-4761
地	ㄉㄜ˙	1-4762
地	ㄉㄧˋ	1-4762
在	ㄗㄞˋ	1-4763
圭	ㄍㄨㄟ	1-4764
圬	ㄨ	1-4765
圯	ㄧˊ	1-4766
圩	ㄨㄟˊ	1-4767
圩	ㄩˊ	1-4767
夙	ㄙㄨˋ	1-4768
多	ㄉㄨㄛ	1-4769
多	ㄉㄨㄛˊ	1-4769
夷	ㄧˊ	1-476A
夸	ㄎㄨㄚ	1-476B
妄	ㄨㄤˋ	1-476C
奸	ㄐㄧㄢ	1-476D
妃	ㄆㄟˋ	1-476E
妃	ㄈㄟ	1-476E
好	ㄏㄠˇ	1-476F
好	ㄏㄠˋ	1-476F
她	ㄊㄚ	1-4770
如	ㄖㄨˊ	1-4771
妁	ㄕㄨㄛˋ	1-4772
字	ㄗˋ	1-4773
存	ㄘㄨㄣˊ	1-4774
宇	ㄩˇ	1-4775
守	ㄕㄡˇ	1-4776
守	ㄕㄡˋ	1-4776
宅	ㄓㄜˋ	1-4777
宅	ㄓㄞˊ	1-4777
安	ㄢ	1-4778
寺	ㄙˋ	1-4779
尖	ㄐㄧㄢ	1-477A
屹	ㄧˋ	1-477B
州	ㄓㄡ	1-477C
帆	ㄈㄢ	1-477D
帆	ㄈㄢˊ	1-477D
并	ㄅㄧㄥ	1-477E
并	ㄅㄧㄥˋ	1-477E
年	ㄋㄧㄢˊ	1-4821
式	ㄕˋ	1-4822
弛	ㄔˊ	1-4823
弛	ㄕˇ	1-4823
忙	ㄇㄤˊ	1-4824
忖	ㄘㄨㄣˇ	1-4825
戎	ㄖㄨㄥˊ	1-4826
戌	ㄒㄩ	1-4827
戍	ㄕㄨˋ	1-4828
成	ㄔㄥˊ	1-4829
扣	ㄎㄡˋ	1-482A
扛	ㄍㄤ	1-482B
扛	ㄎㄤˊ	1-482B
托	ㄊㄨㄛ	1-482C
收	ㄕㄡ	1-482D
早	ㄗㄠˇ	1-482E
旨	ㄓˇ	1-482F
旬	ㄒㄩㄣˊ	1-4830
旭	ㄒㄩˋ	1-4831
曲	ㄑㄩ	1-4832
曲	ㄑㄩˇ	1-4832
曳	ㄧˋ	1-4833
曳	ㄧㄝˋ	1-4833
有	ㄧㄡˇ	1-4834
有	ㄧㄡˋ	1-4834
朽	ㄒㄧㄡˇ	1-4835
朴	ㄆㄛˋ	1-4836
朴	ㄆㄨˊ	1-4836
朱	ㄓㄨ	1-4837
朱	ㄕㄨˊ	1-4837
朵	ㄉㄨㄛˇ	1-4838
次	ㄗ	1-4839
次	ㄘˋ	1-4839
此	ㄘˇ	1-483A
死	ㄙˇ	1-483B
氖	ㄋㄞˇ	1-483C
汝	ㄖㄨˇ	1-483D
汗	ㄏㄢˊ	1-483E
汗	ㄏㄢˋ	1-483E
汙	ㄨ	1-483F
汙	ㄨˋ	1-483F
汙	ㄨㄚ	1-483F
汙	ㄩ	1-483F
汙	ㄩˊ	1-483F
江	ㄐㄧㄤ	1-4840
池	ㄔˊ	1-4841
汐	ㄒㄧˋ	1-4842
汕	ㄕㄢˋ	1-4843
污	ㄨ	1-4844
汛	ㄒㄩㄣˋ	1-4845
汍	ㄨㄢˊ	1-4846
汎	ㄈㄢˋ	1-4847
灰	ㄏㄨㄟ	1-4848
牟	ㄇㄡˊ	1-4849
牝	ㄆㄧㄣˋ	1-484A
百	ㄅㄛˊ	1-484B
百	ㄅㄞˇ	1-484B
竹	ㄓㄨˊ	1-484C
米	ㄇㄧˇ	1-484D
糸	ㄇㄧˋ	1-484E
糸	ㄙ	1-484E
缶	ㄈㄡˇ	1-484F
羊	ㄒㄧㄤˊ	1-4850
羊	ㄧㄤˊ	1-4850
羽	ㄩˇ	1-4851
老	ㄌㄠˇ	1-4852
考	ㄎㄠˇ	1-4853
而	ㄦˊ	1-4854
耒	ㄌㄟˇ	1-4855
耳	ㄦˇ	1-4856
聿	ㄩˋ	1-4857
肉	ㄖㄡˋ	1-4858
肉	ㄖㄨˋ	1-4858
肋	ㄌㄜˋ	1-4859
肋	ㄌㄟˋ	1-4859
肌	ㄐㄧ	1-485A
臣	ㄔㄣˊ	1-485B
自	ㄗˋ	1-485C
至	ㄓˋ	1-485D
臼	ㄐㄧㄡˋ	1-485E
舌	ㄕㄜˊ	1-485F
舛	ㄔㄨㄢˇ	1-4860
舟	ㄓㄡ	1-4861
艮	ㄍㄣˇ	1-4862
艮	ㄍㄣˋ	1-4862
色	ㄕㄜˋ	1-4863
色	ㄕㄞˇ	1-4863
色	ㄙㄜˋ	1-4863
艾	ㄞˋ	1-4864
艾	ㄧˋ	1-4864
虫	ㄏㄨㄟˇ	1-4865
虫	ㄔㄨㄥˊ	1-4865
血	ㄒㄧㄝˇ	1-4866
血	ㄒㄩㄝˋ	1-4866
行	ㄏㄤˊ	1-4867
行	ㄏㄤˋ	1-4867
行	ㄒㄧㄥˊ	1-4867
行	ㄒㄧㄥˋ	1-4867
衣	ㄧ	1-4868
衣	ㄧˋ	1-4868
西	ㄒㄧ	1-4869
阡	ㄑㄧㄢ	1-486A
串	ㄍㄨㄢˋ	1-486B
串	ㄔㄨㄢˋ	1-486B
亨	ㄆㄥ	1-486C
亨	ㄏㄥ	1-486C
亨	ㄏㄥˊ	1-486C
位	ㄨㄟˋ	1-486D
住	ㄓㄨˋ	1-486E
佇	ㄓㄨˋ	1-486F
佗	ㄊㄚ	1-4870
佗	ㄊㄨㄛ	1-4870
佗	ㄊㄨㄛˊ	1-4870
佞	ㄋㄧㄥˋ	1-4871
伴	ㄅㄢˋ	1-4872
佛	ㄅㄧˋ	1-4873
佛	ㄈㄛˊ	1-4873
佛	ㄈㄨˊ	1-4873
何	ㄏㄜˊ	1-4874
估	ㄍㄨ	1-4875
估	ㄍㄨˇ	1-4875
估	ㄍㄨˋ	1-4875
佐	ㄗㄨㄛˇ	1-4876
佑	ㄧㄡˋ	1-4877
伽	ㄐㄧㄚ	1-4878
伽	ㄑㄧㄝˊ	1-4878
伺	ㄘˋ	1-4879
伺	ㄙˋ	1-4879
伸	ㄕㄣ	1-487A
佃	ㄉㄧㄢˋ	1-487B
佃	ㄊㄧㄢˊ	1-487B
佔	ㄓㄢ	1-487C
佔	ㄓㄢˋ	1-487C
似	ㄙˋ	1-487D
但	ㄉㄢˋ	1-487E
佣	ㄩㄥˋ	1-4921
作	ㄗㄨㄛ	1-4922
作	ㄗㄨㄛˊ	1-4922
作	ㄗㄨㄛˋ	1-4922
你	ㄋㄧˇ	1-4923
伯	ㄅㄚˋ	1-4924
伯	ㄅㄛˊ	1-4924
伯	ㄅㄞˇ	1-4924
低	ㄉㄧ	1-4925
伶	ㄌㄧㄥˊ	1-4926
余	ㄒㄩˊ	1-4927
余	ㄩˊ	1-4927
佝	ㄎㄡˋ	1-4928
佈	ㄅㄨˋ	1-4929
佚	ㄉㄧㄝˊ	1-492A
佚	ㄧˋ	1-492A
兌	ㄉㄨㄟˋ	1-492B
克	ㄎㄜˋ	1-492C
免	ㄇㄧㄢˇ	1-492D
免	ㄨㄣˋ	1-492D
兵	ㄅㄧㄥ	1-492E
冶	ㄧㄝˇ	1-492F
冷	ㄌㄥˇ	1-4930
別	ㄅㄧㄝˊ	1-4931
判	ㄆㄢˋ	1-4932
利	ㄌㄧˋ	1-4933
刪	ㄕㄢ	1-4934
刨	ㄅㄠˋ	1-4935
刨	ㄆㄠˊ	1-4935
劫	ㄐㄧㄝˊ	1-4936
助	ㄓㄨˋ	1-4937
努	ㄋㄨˇ	1-4938
劬	ㄑㄩˊ	1-4939
