# Tatoeba Mandarin (cmn) sentences, Traditional-script originals (weekly export of 2026-09-19 (file timestamps 19-Sep-2026 06:30-06:31 UTC))
# CC BY 2.0 FR (the cmn CC0 subset file is empty): https://creativecommons.org/licenses/by/2.0/fr/
# author	sentences kept (all splits)
21violins	1
ABChessel	1
Adelpa	103
Aharlekyn	1
Amberwei	1
Arraroak	5
Atomo	8
Balamax	6
CynthiaGAN	1
DaoSeng	2851
DeSha	1
DeanFumu	1
DetErMinNavn	1
Dusun_Les	1
EDOBEAR	44
FXB	1
FishlandicFishy	79
GlossaMatik	31
Glossika	25
HAGNi	2
HSUAN	1
Hans07	1
Imp	7
Ivanovb	3
Iye_Tete	2
JSakuragi	4
JimiYoru	1
JimmyUK	1
Josephlingo	2
KevinWang	2
Laoan	3
LeeSooHa	94
Leolaaziano	104
LeviHighway	9381
Malape	1
Martha	10397
NigerianSmiths	1
Pengaterch	14
Popolon	1
Raccoonwao	10
Rebeca	45
RickShaw	11
Rovo	1
S01	15
Sethlang	9
SofiaLee	9
Tajfun	122
Theocracy	1
Tximist	2
U2FS	6
User106598	9
User55521	1
Verna0072001	20
Vintotal	1
Vivian	2
Vortarulo	8
Wezel	1
Yashanti	13
Yetiowin	1
YueBei	6
Yug	1
ZPVIP	1
Zifre	36
Zoe	1
acamacho	1
andymakespasta	14
atitarev	258
aye1995	1
bekindtoall	9
bionicboy	4
boanw	6
cc_neko	33
cherylting	149
cienias	609
cntrational	1
corina	141
cutebunny	1
di7	1
eastasiastudent	19
egg0073	1466
elena_chang	4
elenachang	7
elizabethchan	7
eltacodemex	32
enebi	5
enzubii	11
everylanguage	1
fenfang557	1
fengli	277
fercheung	1
flysun	2
frankou	13
freeair	1
frpzzd	7
fucongcong	136
funghsu	13
gumblex	3
hanchingame	11
hanksudo	5
hkfreddy	32
hoishing	2
holger_reinherzen	17
iainmb93	1
iiujik	5
jacquiceung	19
jamesforsyth	1
janTuki	17
jan_OkulaJu	5
jeanne1102	3
jenny5752	34
jjbraam	41
jkao	2
jsk	1
kaenif	42
kaistanb	1
kanaorange	59
kchen52	2
kefesh09305d1L	2
kellenparker	1
ken123ben123	6
koenfoo	1
krrk	2
lihsun	1
limmy	4
liseteja	1
liting	2
liyongtao	1
lochiwei	3
magicalrpetz47	8
marupiter	2
menyo	3
michaelkyb	6
michu	26
migl	2
mimosawang	587
minshirui	2
mml	5
mochico	3
moonoops	30
mrtaistoi	3
myblessing	1
newtonlkh	7
neximus	1
nickyeow	4406
ninefi	1
npes89033	12
offdare	133
penelope0707	23
pftest2382785	20
pllim	6
pocket_lab	29
qazz0003	24
rayshih715	50
rcdroid	4
redcat	1
remo	4
robbieheslop	12
rokito	6
rramphal	1
rsd0324	2
s0m30n3	1
sadhen	19
schur	1
serenaliu	1
serendipity42	1
shanghainese	8
shangkuanlc	4
shekitten	1
shou	52
slo_oth	11
sodajuice	1
soredewa	1
sorpaas	1
soueihin	12
sysko	4
tatomeimei	2
terrylin328	2
theachaean	3
thepaperwings	2
tigro1973	20
tim1452	10
timmerix	7
tmzg	1
treskro3	127
trieuho	6
tsayng	366
tskat	3
tzutinghsu	1
u4u40	1
uhasan	45
umidake	79
untruth0423	3
valhentai	24
verdastelo9604	2544
victor831009	1
wangchou	32
witchrin	3
wolfwind	23
wzhd	4
xjjAstrus	2818
xtofu80	1
yapefan	1
youngprocreate	1
yuiyu	3
yusukekan	1
zhou24	1
zhouj1955	12
zvzuibqx	36
zzztat	12
